,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,class
0,0.026926249,0.211189002,0.075056404,0.179532111,0.121865153,0.118528843,0.144808918,0.059207618,0.129693419,0.013165951,0.094869971,0.053712279,0.103226453,0.001371235,0.0975748,0.049749762,0.093973607,0.089133978,0.062651336,0.053546965,0.070360988,0,0.070578992,0.062639862,0.071260422,0.108161032,0.031172603,0.064418882,0.03668189,0.014968961,0.045218319,0.080632955,0.050964236,0.124867409,0,0.084489882,0.009528905,0.057020009,0.022645295,0.103715777,0.030494779,0.136324912,0
1,0.028652653,0.210765123,0.07684578,0.177180052,0.122845665,0.117855847,0.144595549,0.057485431,0.129096881,0.012203246,0.096079573,0.054305553,0.10406287,0.002119601,0.099677131,0.049033076,0.096854702,0.08875218,0.064525649,0.05382362,0.072231665,0,0.071828619,0.063720703,0.071757868,0.110234946,0.032887831,0.064162761,0.038976148,0.014872134,0.046484217,0.080791533,0.051441923,0.125771999,0,0.083448738,0.009630367,0.056306809,0.023633346,0.102898061,0.031943217,0.135311425,0
2,0.026403964,0.212340593,0.074267954,0.180377662,0.122163475,0.119740129,0.14510715,0.060147971,0.128698349,0.014556825,0.095265955,0.05641219,0.104319543,0.00375098,0.097983271,0.049586117,0.094537646,0.089871436,0.063417047,0.055743307,0.071487904,0,0.070113897,0.060210854,0.070770144,0.107188761,0.031639457,0.065654993,0.037939042,0.016363114,0.044735432,0.081116557,0.050636053,0.126422584,0,0.084409565,0.01054734,0.06046316,0.022247374,0.108152539,0.029979855,0.141910195,0
3,0.026403964,0.212340593,0.074267954,0.180377662,0.122163475,0.119740129,0.14510715,0.060147971,0.128698349,0.014556825,0.095265955,0.05641219,0.104319543,0.00375098,0.097983271,0.049586117,0.094537646,0.089871436,0.063417047,0.055743307,0.071487904,0,0.070113897,0.060210854,0.070770144,0.107188761,0.031639457,0.065654993,0.037939042,0.016363114,0.044735432,0.081116557,0.050636053,0.126422584,0,0.084409565,0.01054734,0.06046316,0.022247374,0.108152539,0.029979855,0.141910195,0
4,0.027747005,0.209456116,0.075612009,0.1765607,0.121688783,0.116987616,0.142969042,0.058840662,0.125905514,0.015016228,0.09548077,0.055034995,0.100765109,0.003602356,0.094859809,0.047527045,0.092917204,0.087663978,0.063084245,0.055106223,0.068389505,0,0.066991657,0.05988729,0.068888009,0.107560158,0.031392395,0.065935791,0.035731077,0.015075862,0.041810632,0.07860136,0.048586696,0.124148577,0,0.085813671,0.007953644,0.057931513,0.018550664,0.10504958,0.027026713,0.139705062,0
5,0.027923346,0.20316124,0.075337052,0.172514737,0.121138573,0.115557909,0.143869668,0.057840466,0.128088236,0.014376998,0.09172833,0.054162592,0.101278722,0.002294004,0.097292751,0.045707017,0.094098479,0.086336195,0.06151852,0.053420603,0.069729805,0,0.069347203,0.058743507,0.070604593,0.104723185,0.031142831,0.063445091,0.03766498,0.015461087,0.044233948,0.078614771,0.050049901,0.123014987,0,0.08251214,0.009549677,0.056644261,0.022142231,0.101780057,0.030294031,0.133445889,0
6,0.027923346,0.20316124,0.075337052,0.172514737,0.121138573,0.115557909,0.143869668,0.057840466,0.128088236,0.014376998,0.09172833,0.054162592,0.101278722,0.002294004,0.097292751,0.045707017,0.094098479,0.086336195,0.06151852,0.053420603,0.069729805,0,0.069347203,0.058743507,0.070604593,0.104723185,0.031142831,0.063445091,0.03766498,0.015461087,0.044233948,0.078614771,0.050049901,0.123014987,0,0.08251214,0.009549677,0.056644261,0.022142231,0.101780057,0.030294031,0.133445889,0
7,0.029310197,0.201233983,0.075441629,0.174206972,0.12172088,0.116432786,0.14262113,0.057391077,0.127640724,0.012262523,0.094988376,0.055038452,0.102411568,0.004524231,0.096352518,0.049628824,0.093087733,0.088730454,0.063625962,0.053938001,0.070672661,0,0.069293618,0.061233103,0.06975913,0.106995374,0.032262236,0.062908947,0.038843334,0.014499515,0.045130014,0.079336077,0.050689369,0.123227209,0,0.080394119,0.009751797,0.055532724,0.022166312,0.10209778,0.03085047,0.133872628,0
8,0.029310197,0.201233983,0.075441629,0.174206972,0.12172088,0.116432786,0.14262113,0.057391077,0.127640724,0.012262523,0.094988376,0.055038452,0.102411568,0.004524231,0.096352518,0.049628824,0.093087733,0.088730454,0.063625962,0.053938001,0.070672661,0,0.069293618,0.061233103,0.06975913,0.106995374,0.032262236,0.062908947,0.038843334,0.014499515,0.045130014,0.079336077,0.050689369,0.123227209,0,0.080394119,0.009751797,0.055532724,0.022166312,0.10209778,0.03085047,0.133872628,0
9,0.029310197,0.201233983,0.075441629,0.174206972,0.12172088,0.116432786,0.14262113,0.057391077,0.127640724,0.012262523,0.094988376,0.055038452,0.102411568,0.004524231,0.096352518,0.049628824,0.093087733,0.088730454,0.063625962,0.053938001,0.070672661,0,0.069293618,0.061233103,0.06975913,0.106995374,0.032262236,0.062908947,0.038843334,0.014499515,0.045130014,0.079336077,0.050689369,0.123227209,0,0.080394119,0.009751797,0.055532724,0.022166312,0.10209778,0.03085047,0.133872628,0
10,0.028535992,0.202892631,0.075517386,0.173420638,0.120815575,0.116269559,0.143732578,0.059195489,0.130513549,0.014355481,0.093645751,0.055754751,0.103052229,0.003240734,0.099189609,0.046910733,0.096073568,0.087607801,0.063077658,0.054556012,0.071235925,0,0.070676297,0.059423089,0.07134819,0.106219321,0.032029688,0.064051241,0.038584888,0.015246749,0.045503765,0.077738702,0.051178157,0.122254759,0,0.082425892,0.010282725,0.055678219,0.023708463,0.099370211,0.032279551,0.130744398,0
11,0.026591688,0.202878058,0.073725581,0.173062593,0.121001273,0.117075205,0.143403441,0.057725459,0.126445532,0.01507318,0.094206601,0.053297669,0.102760285,0.00276354,0.098067731,0.047128618,0.095039457,0.085260391,0.063368976,0.051140696,0.070939571,0,0.070479423,0.061403066,0.070548356,0.104821563,0.032313555,0.060366035,0.038926214,0.014276743,0.045671493,0.077406466,0.050461382,0.119594932,0,0.078909844,0.009646863,0.053397208,0.02272591,0.097688764,0.030851275,0.127583623,0
12,0.028652653,0.210765123,0.07684578,0.177180052,0.122845665,0.117855847,0.144595549,0.057485431,0.129096881,0.012203246,0.096079573,0.054305553,0.10406287,0.002119601,0.099677131,0.049033076,0.096854702,0.08875218,0.064525649,0.05382362,0.072231665,0,0.071828619,0.063720703,0.071757868,0.110234946,0.032887831,0.064162761,0.038976148,0.014872134,0.046484217,0.080791533,0.051441923,0.125771999,0,0.083448738,0.009630367,0.056306809,0.023633346,0.102898061,0.031943217,0.135311425,0
13,0.026591688,0.202878058,0.073725581,0.173062593,0.121001273,0.117075205,0.143403441,0.057725459,0.126445532,0.01507318,0.094206601,0.053297669,0.102760285,0.00276354,0.098067731,0.047128618,0.095039457,0.085260391,0.063368976,0.051140696,0.070939571,0,0.070479423,0.061403066,0.070548356,0.104821563,0.032313555,0.060366035,0.038926214,0.014276743,0.045671493,0.077406466,0.050461382,0.119594932,0,0.078909844,0.009646863,0.053397208,0.02272591,0.097688764,0.030851275,0.127583623,0
14,0.026591688,0.202878058,0.073725581,0.173062593,0.121001273,0.117075205,0.143403441,0.057725459,0.126445532,0.01507318,0.094206601,0.053297669,0.102760285,0.00276354,0.098067731,0.047128618,0.095039457,0.085260391,0.063368976,0.051140696,0.070939571,0,0.070479423,0.061403066,0.070548356,0.104821563,0.032313555,0.060366035,0.038926214,0.014276743,0.045671493,0.077406466,0.050461382,0.119594932,0,0.078909844,0.009646863,0.053397208,0.02272591,0.097688764,0.030851275,0.127583623,0
